Time,Signal,Price
2025-02-06T22:00:00.000Z,SHORT,96514.9
2025-02-06T23:25:00.000Z,SHORT,96571.7
2025-02-07T00:40:00.000Z,SHORT,96461
2025-02-07T01:05:00.000Z,SHORT,96728.8
2025-02-08T01:00:00.000Z,SHORT,96643.9
2025-02-08T03:20:00.000Z,SHORT,96533.6
2025-02-08T10:45:00.000Z,SHORT,96050
2025-02-09T16:30:00.000Z,SHORT,96421.9
2025-02-09T21:10:00.000Z,SHORT,96200
2025-02-10T01:00:00.000Z,SHORT,96556.2
2025-02-10T19:35:00.000Z,SHORT,97373.8
2025-02-11T22:30:00.000Z,SHORT,96050.7
2025-02-12T01:20:00.000Z,SHORT,95803
2025-02-12T02:15:00.000Z,SHORT,95967.8
2025-02-13T10:35:00.000Z,SHORT,96123.2
2025-02-13T10:50:00.000Z,SHORT,96142.5
2025-02-13T11:05:00.000Z,SHORT,96199.9
2025-02-13T11:20:00.000Z,SHORT,96180.4
2025-02-13T16:00:00.000Z,SHORT,95700
2025-02-13T19:30:00.000Z,SHORT,95679.9
2025-02-15T03:00:00.000Z,SHORT,97790
2025-02-15T03:20:00.000Z,SHORT,97786.6
2025-02-15T10:05:00.000Z,SHORT,97483.3
2025-02-15T11:10:00.000Z,SHORT,97499.3
2025-02-15T11:25:00.000Z,SHORT,97545.4
2025-02-15T12:00:00.000Z,SHORT,97537.5
2025-02-15T13:50:00.000Z,SHORT,97665.3
2025-02-15T19:50:00.000Z,SHORT,97494.3
2025-02-15T22:25:00.000Z,SHORT,97403.8
2025-02-16T00:55:00.000Z,SHORT,97546
2025-02-16T17:30:00.000Z,SHORT,96944.6
2025-02-16T20:35:00.000Z,SHORT,96913.4
2025-02-16T22:20:00.000Z,SHORT,96990.5
2025-02-17T07:10:00.000Z,SHORT,96248.8
2025-02-17T10:30:00.000Z,SHORT,96095.1
2025-02-18T22:05:00.000Z,SHORT,94899.9
2025-02-18T22:45:00.000Z,SHORT,95207.9
2025-02-20T06:55:00.000Z,LONG,96868
2025-02-20T07:15:00.000Z,LONG,96852.4
2025-02-20T08:00:00.000Z,LONG,96782.7
2025-02-20T08:25:00.000Z,LONG,96935.1
2025-02-20T22:30:00.000Z,LONG,98211.9
2025-02-21T01:45:00.000Z,LONG,98284
2025-02-22T09:05:00.000Z,LONG,96296.3
2025-02-22T15:20:00.000Z,LONG,96561.7
2025-02-22T15:45:00.000Z,LONG,96589.2
2025-02-22T19:30:00.000Z,LONG,96565.2
2025-02-23T00:30:00.000Z,LONG,96552.8
2025-02-23T02:25:00.000Z,LONG,96387.3
2025-02-23T02:40:00.000Z,LONG,96411.7
2025-02-23T07:00:00.000Z,LONG,96268.1
2025-02-24T18:00:00.000Z,SHORT,94592
2025-02-24T18:15:00.000Z,SHORT,94779.2
2025-02-25T03:20:00.000Z,SHORT,92000.9
2025-02-25T04:00:00.000Z,SHORT,91958.7
2025-02-25T04:20:00.000Z,SHORT,92200
2025-02-25T12:50:00.000Z,SHORT,88987.6
2025-02-25T13:20:00.000Z,SHORT,89104.2
2025-02-26T16:05:00.000Z,SHORT,87189.2
2025-02-26T22:40:00.000Z,SHORT,84256.9
2025-02-26T22:55:00.000Z,SHORT,84390.8
2025-02-26T23:05:00.000Z,SHORT,84471.9
2025-02-27T02:00:00.000Z,SHORT,84720.9
2025-02-27T22:30:00.000Z,SHORT,83989.8
2025-02-28T00:05:00.000Z,SHORT,84688.3
2025-02-28T10:15:00.000Z,SHORT,79870
2025-03-01T15:40:00.000Z,SHORT,84603
2025-03-01T17:25:00.000Z,SHORT,84991
2025-03-01T18:05:00.000Z,SHORT,85134
2025-03-01T19:20:00.000Z,SHORT,85243.2
2025-03-01T19:35:00.000Z,SHORT,85210.2
2025-03-01T20:10:00.000Z,SHORT,85376.7
2025-03-01T20:45:00.000Z,SHORT,85457.4
2025-03-02T07:10:00.000Z,SHORT,86124.9
2025-03-02T12:00:00.000Z,SHORT,85900
2025-03-03T06:10:00.000Z,SHORT,92935.8
2025-03-03T11:45:00.000Z,SHORT,92504.7
2025-03-03T12:35:00.000Z,SHORT,92838.2
2025-03-03T14:15:00.000Z,SHORT,93224.3
2025-03-03T23:50:00.000Z,SHORT,86239.2
2025-03-04T06:20:00.000Z,SHORT,84077.7
2025-03-04T06:35:00.000Z,SHORT,83819.5
2025-03-04T10:00:00.000Z,SHORT,83720.1
2025-03-06T01:25:00.000Z,LONG,90289.6
2025-03-07T18:00:00.000Z,LONG,88134.4
2025-03-08T01:05:00.000Z,SHORT,86538.2
2025-03-08T05:25:00.000Z,SHORT,86184.1
2025-03-08T06:45:00.000Z,SHORT,86304.4
2025-03-09T21:00:00.000Z,SHORT,82900.2
2025-03-10T20:45:00.000Z,SHORT,78825
2025-03-10T21:55:00.000Z,SHORT,79528
2025-03-10T22:05:00.000Z,SHORT,79290.3
2025-03-10T23:10:00.000Z,SHORT,79364.4
2025-03-12T09:10:00.000Z,SHORT,82525.6
2025-03-12T17:50:00.000Z,SHORT,82073.2
2025-03-12T19:35:00.000Z,SHORT,82600.9
2025-03-13T10:20:00.000Z,SHORT,83209.1
2025-03-13T23:25:00.000Z,SHORT,81060.8
2025-03-15T00:20:00.000Z,LONG,84070.9
2025-03-17T06:50:00.000Z,LONG,83232.2
2025-03-17T11:20:00.000Z,LONG,83536.7
2025-03-17T13:35:00.000Z,LONG,83640
2025-03-17T15:00:00.000Z,LONG,82733.1
2025-03-17T21:45:00.000Z,LONG,84101.6
2025-03-17T23:45:00.000Z,LONG,84057.8
2025-03-19T18:15:00.000Z,LONG,84450
2025-03-20T02:35:00.000Z,LONG,85889.9
2025-03-21T20:25:00.000Z,LONG,84050.6
2025-03-22T00:15:00.000Z,LONG,84113.1
2025-03-22T02:15:00.000Z,LONG,84093.6
2025-03-22T09:00:00.000Z,LONG,84191
2025-03-22T12:50:00.000Z,LONG,84210.4
2025-03-22T13:55:00.000Z,LONG,84140
2025-03-23T18:50:00.000Z,LONG,84960.9
2025-03-24T02:40:00.000Z,LONG,85714.9
2025-03-24T13:35:00.000Z,LONG,87369.8
2025-03-25T19:05:00.000Z,LONG,88007.5
2025-03-27T00:00:00.000Z,LONG,86892.2
2025-03-27T06:15:00.000Z,LONG,87423.7
2025-03-27T06:45:00.000Z,LONG,87301
2025-03-27T07:30:00.000Z,LONG,87380.1
2025-03-27T07:45:00.000Z,LONG,87303.7
2025-03-27T08:05:00.000Z,LONG,87233.1
2025-03-28T00:40:00.000Z,LONG,87175.2
2025-03-28T01:15:00.000Z,LONG,87090.9
2025-03-28T01:25:00.000Z,LONG,87125.4
2025-03-29T03:30:00.000Z,LONG,84126.4
2025-03-29T05:10:00.000Z,LONG,84050.3
2025-03-29T05:50:00.000Z,LONG,83967.2
2025-03-29T06:45:00.000Z,LONG,83781.5
2025-03-29T06:55:00.000Z,LONG,83757.4
2025-03-29T07:20:00.000Z,LONG,83769
2025-03-29T23:10:00.000Z,LONG,82424.9
2025-03-30T06:40:00.000Z,LONG,83116
2025-03-30T11:15:00.000Z,LONG,83296.2
2025-03-30T12:20:00.000Z,LONG,83048.5
2025-03-30T14:30:00.000Z,LONG,82734.9
2025-03-30T15:30:00.000Z,LONG,82789.7
2025-03-31T10:15:00.000Z,LONG,81521.5
2025-03-31T18:15:00.000Z,LONG,83252.5
2025-03-31T20:30:00.000Z,LONG,82729.7
2025-03-31T21:10:00.000Z,LONG,82522.7
2025-03-31T22:50:00.000Z,LONG,82336.8
2025-04-01T12:25:00.000Z,LONG,84025
2025-04-01T13:40:00.000Z,LONG,83696
2025-04-01T14:40:00.000Z,LONG,83474.4
2025-04-02T19:35:00.000Z,LONG,86361
2025-04-04T03:20:00.000Z,LONG,83019.5
2025-04-04T04:30:00.000Z,LONG,82876
2025-04-04T05:05:00.000Z,LONG,82749.3
2025-04-04T11:50:00.000Z,LONG,82430
2025-04-04T23:55:00.000Z,LONG,83861.3
2025-04-05T00:15:00.000Z,LONG,83804.8
2025-04-05T00:55:00.000Z,LONG,83760
2025-04-07T02:20:00.000Z,SHORT,78714
2025-04-07T09:20:00.000Z,SHORT,75907.8
2025-04-07T10:55:00.000Z,SHORT,76953.9
2025-04-08T14:00:00.000Z,SHORT,79961.6
2025-04-09T06:35:00.000Z,SHORT,76884.2
2025-04-10T06:30:00.000Z,SHORT,81960.1
2025-04-10T07:00:00.000Z,SHORT,82119.9
2025-04-10T07:10:00.000Z,SHORT,82076.4
2025-04-10T10:25:00.000Z,SHORT,81680
2025-04-10T12:50:00.000Z,SHORT,81682.4
2025-04-10T19:25:00.000Z,SHORT,79323.3
2025-04-10T21:15:00.000Z,SHORT,79757.9
2025-04-10T22:15:00.000Z,SHORT,79782.1
2025-04-10T22:30:00.000Z,SHORT,79800
2025-04-10T22:50:00.000Z,SHORT,79725.4
2025-04-11T12:40:00.000Z,LONG,82257.2
2025-04-11T13:30:00.000Z,LONG,82408.1
2025-04-11T15:25:00.000Z,LONG,82144.1
2025-04-11T23:35:00.000Z,LONG,83384.4
2025-04-12T17:40:00.000Z,LONG,84814.9
2025-04-13T00:05:00.000Z,LONG,85357
2025-04-13T00:25:00.000Z,LONG,85148.3
2025-04-13T00:45:00.000Z,LONG,85346.7
2025-04-14T06:40:00.000Z,LONG,84507.3
2025-04-14T07:10:00.000Z,LONG,84258.6
2025-04-14T07:45:00.000Z,LONG,84449.4
2025-04-14T10:25:00.000Z,LONG,84594.3
2025-04-14T14:25:00.000Z,LONG,85045.7
2025-04-14T21:10:00.000Z,LONG,84882.8
2025-04-14T21:20:00.000Z,LONG,84710.1
2025-04-15T11:55:00.000Z,LONG,85549.3
2025-04-16T13:35:00.000Z,LONG,83980.3
2025-04-16T13:50:00.000Z,LONG,83640.9
2025-04-16T14:00:00.000Z,LONG,83944.1
2025-04-16T19:00:00.000Z,LONG,83990.5
2025-04-17T00:35:00.000Z,LONG,84100.1
2025-04-17T02:55:00.000Z,LONG,84226.5
2025-04-17T03:10:00.000Z,LONG,84107
2025-04-17T04:20:00.000Z,LONG,83885.9
2025-04-17T09:45:00.000Z,LONG,84453.3
2025-04-17T10:50:00.000Z,LONG,84336.6
2025-04-17T20:05:00.000Z,LONG,85014
2025-04-17T20:30:00.000Z,LONG,84838.5
